2024-07-27 01:23:13,059 INFO    MainThread:26135 [wandb_setup.py:_flush():76] Current SDK version is 0.17.2
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_setup.py:_flush():76] Configure stats pid to 26135
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_setup.py:_flush():76] Loading settings from /root/Transformotion/wandb/settings
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'trainers/train_transformotion.py', 'program_abspath': '/root/Transformotion/trainers/train_transformotion.py', 'program': 'trainers/train_transformotion.py'}
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_init.py:_log_setup():520] Logging user logs to /root/Transformotion/wandb/run-20240727_012313-artxf1qj/logs/debug.log
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_init.py:_log_setup():521] Logging internal logs to /root/Transformotion/wandb/run-20240727_012313-artxf1qj/logs/debug-internal.log
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_init.py:init():560] calling init triggers
2024-07-27 01:23:13,060 INFO    MainThread:26135 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0002, 'epochs': 3000}
2024-07-27 01:23:13,061 INFO    MainThread:26135 [wandb_init.py:init():610] starting backend
2024-07-27 01:23:13,061 INFO    MainThread:26135 [wandb_init.py:init():614] setting up manager
2024-07-27 01:23:13,064 INFO    MainThread:26135 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-27 01:23:13,066 INFO    MainThread:26135 [wandb_init.py:init():622] backend started and connected
2024-07-27 01:23:13,072 INFO    MainThread:26135 [wandb_init.py:init():711] updated telemetry
2024-07-27 01:23:13,395 INFO    MainThread:26135 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-27 01:23:14,632 INFO    MainThread:26135 [wandb_run.py:_on_init():2402] communicating current version
2024-07-27 01:23:15,002 INFO    MainThread:26135 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-27 01:23:15,003 INFO    MainThread:26135 [wandb_init.py:init():795] starting run threads in backend
2024-07-27 01:23:18,335 INFO    MainThread:26135 [wandb_run.py:_console_start():2380] atexit reg
2024-07-27 01:23:18,336 INFO    MainThread:26135 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-27 01:23:18,336 INFO    MainThread:26135 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-27 01:23:18,336 INFO    MainThread:26135 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-27 01:23:18,338 INFO    MainThread:26135 [wandb_init.py:init():838] run started, returning control to user process
